source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,text_spanish,_sentence_text_spanish
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_3634-3763,3735,3746,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3735, end=3746, sentimentcategory=4)",fruchtbaren,"Die Fichten brauchen einen tiefern Grund , und ich habe sie selten so schön und so zahlreich auf uns fruchtbaren Klippen gesehn .",4,fértil,"Los abetos necesitan un suelo más profundo, y rara vez los he visto tan hermosos y numerosos en nuestros fértiles acantilados."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_4249-4529,4346,4355,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=4346, end=4355, sentimentcategory=4)",Schönheit,"Die weit umher verstreuten , von Leben und Thätigkeit wimmelnden Meyer- höfe , erhöhten noch die Schönheit der Gegend , die von ihrer natürlichen Wildheit so viel übrig behalten hatte , daß die Kunst , deren mitwirkende Hand hier unentbehrlich war , kaum bemerkt ( 183 . ) wurde .",4,belleza,"Las dispersas y bulliciosas granjas de los Meyer esparcidas por todas partes, aún aumentaban la belleza del paisaje, que conservaba tanto de su salvaje naturalidad que apenas se notaba la mano de la arte, la cual era indispensable aquí (183)."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_4249-4529,4377,4403,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=4377, end=4403, sentimentcategory=5)",ihrer natürlichen Wildheit,"Die weit umher verstreuten , von Leben und Thätigkeit wimmelnden Meyer- höfe , erhöhten noch die Schönheit der Gegend , die von ihrer natürlichen Wildheit so viel übrig behalten hatte , daß die Kunst , deren mitwirkende Hand hier unentbehrlich war , kaum bemerkt ( 183 . ) wurde .",5,su salvaje natural,"Las dispersas y bulliciosas granjas de Meyer esparcidas por todas partes aumentaban aún más la belleza de la zona, que conservaba tanto de su salvaje naturaleza que apenas se notaba la mano de la arte, la cual era indispensable aquí (183)."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_4757-4835,4761,4768,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=4761, end=4768, sentimentcategory=4)",sanftes,Ein sanftes Lüftgen streifte über die Aehren und bei wegte ihre zarten Halme .,4,suave,Una suave brisa acarició las espigas y movió sus tallos delicados.
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_4757-4835,4816,4833,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=4816, end=4833, entitycategory=FLORA, sentimentcategory=4)",ihre zarten Halme,Ein sanftes Lüftgen streifte über die Aehren und bei wegte ihre zarten Halme .,4,sus tallos delicados,Una suave brisa acarició las espigas y movió sus tallos delicados.
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_4836-5192,5089,5101,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=5089, end=5101, sentimentcategory=2)",Verwüstungen,"Nur der Weizen wogte ein stolzes Haupt nicht ; in unbeweglicher Würde stand er da , als hätt ' ihn die Natur zum König der Pflanzen gekrönt . - - - Die Gegend , die sich gleich darauf , als wir den Berg hinabfuhren , linker Hand öffnete , war durch die Verwüstungen , die die Zubereitung des Alauns an den Felsen hervorgebracht hatte , bei nahe ganz kahl .",2,devastaciones,"Solo el trigo ondeaba con orgulloso porte; en una dignidad inmóvil se mantenía allí, como si la naturaleza lo hubiera coronado como rey de las plantas. La zona que se abrió a la izquierda poco después, mientras descendíamos la montaña, estaba casi completamente desolada debido a las devastaciones causadas por la extracción de alumbre de las rocas."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_5248-5431,5410,5429,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=5410, end=5429, sentimentcategory=2)",unangenehmes Gefühl,"Ich sah nur , daß die Felsen roth waren , hinter denen man ihn ausge- brannt hatte ; aber die durch diese Operazion ent fandnen Haufen von Trümmern gaben mir ein unangenehmes Gefühl .",2,sensación desagradable,"Vi solamente que las rocas eran rojas, detrás de las cuales lo habían quemado; pero los montones de escombros encontrados por esta operación me dieron una sensación desagradable."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_6145-6310,6248,6259,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=6248, end=6259, sentimentcategory=2)",hohen Preis,"Einige Monate vorher hatten die Einwohner von Christiania , theils durch den Mangel , theils durch den hohen Preis des Getraides gereizt , ei : nen Aufstand erregt .",2,alto precio,"Algunos meses antes, los habitantes de Christiania, en parte por la escasez y en parte por el alto precio de los cereales, provocaron un levantamiento."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_7746-7996,7933,7942,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=7933, end=7942, sentimentcategory=3)",neutralen,"Sie schiften nehmlich verdorbene Güter und Lebensmit : tel aus , in der offenbaren Absicht , daß sie den Engländern in die Hände fallen sollten , die sich anheischig gemacht hatten , den neutralen Mächten alles zu bezahlen , was fe wegnehmen würden .",3,neutral,"Traduce esta oración al español: Sie schiften nehmlich verdorbene Güter und Lebensmit : tel aus , in der offenbaren Absicht , daß sie den Engländern in die Hände fallen sollten , die sich anheischig gemacht hatten , den neutralen Mächten alles zu bezahlen , was fe wegnehmen würden .

La traducción al español es: Ellos estaban enviando bienes y alimentos dañados, con la clara intención de que cayeran en manos de los ingleses, quienes se habían comprometido a pagar a las potencias neutrales todo lo que les quitaran."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_10095-10246,10218,10227,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=10218, end=10227, sentimentcategory=1)",hungrigen,"Durch ihre Berichte - und die Verbindungen , die sie in Kopenhagen , wie an andern Höfen haben , belasten sie das Land mit hungrigen Rechtsverdrehern .",1,hambriento,"A través de sus informes y las conexiones que tienen en Copenhague, así como en otras cortes, cargan al país con abogados hambrientos de distorsionar la ley."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_10499-10662,10610,10632,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=10610, end=10632, sentimentcategory=4)",gewöhnlichem Verstande,"Diese Amtrichter sind fast immer Edelleute aus Kopenhagen , die sich denn gerade so beneh- men , wie Leute von gewöhnlichem Verstande fast - - ( 188 ) immer thun .",4,sentido común,"Estos jueces son casi siempre nobles de Copenhague, que se comportan de la misma manera que la gente de sentido común casi siempre lo hace."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_11327-11685,11563,11570,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=11563, end=11570, sentimentcategory=4)",frische,"Ich komme mir , wie ein am Boden flatternder Vogel vor , der nicht fliegen kann , dem es aber ärgerlich ist , gleich einem Wurme , zu kriechen , da er doch Flügel hat , sich vom Boden zu erheben . - Ich bin spazieren gewesen , denn die frische Luft ist immer das Mittel , dessen ich mich bediene , wenn schwarze Wolken über meinem gepreßten Herzen schweben .",4,fresco,"""Me siento como un pájaro revoloteando en el suelo, que no puede volar, pero le molesta arrastrarse como un gusano, ya que tiene alas para elevarse del suelo. He estado paseando, porque el aire fresco siempre es el remedio que utilizo cuando nubes negras flotan sobre mi apretado corazón."""
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_12635-12869,12829,12847,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=12829, end=12847, entitycategory=PERSON, sentimentcategory=1)",seine Einkerkerung,"Er muß entweder eine große Beredtsamkeit beseffen , oder die Wahrheit auf seiner Seite gehabt haben ; denn die Pächter stan- den , seine Sache zu unterstüzen , zu hunderten auf , und waren über seine Einkerkerung äußerst aufgebracht .",1,su encarcelamiento,"Él debe haber tenido una gran elocuencia o la verdad de su lado, porque los arrendatarios se levantaron en masa para apoyar su causa y estaban muy molestos por su encarcelamiento."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_13276-13357,13297,13306,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=13297, end=13306, entitycategory=PERSON, sentimentcategory=1)",Gefangnen,"Der größte Theil der Gefangnen , die ich hier fah , ist es nicht für Zeitlebens .",1,prisioneros,La mayoría de los prisioneros que tengo aquí no están condenados de por vida.
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_15762-15965,15918,15927,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=15918, end=15927, sentimentcategory=4)",eleganten,"Diese hätten sich sanft in die Landschaft verschmolzen , und nur gerade so viel Kunst fichtbar werden laffen , als es bedurfte , um die Nachbarschaft einer eleganten menschli- chen Wohnung zu verrachen .",4,elegante,"Esto se habría fusionado suavemente con el paisaje, dejando solo la cantidad justa de arte visible que se necesitaba para revelar la vecindad de una elegante residencia humana."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_16924-17068,16945,16954,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=16945, end=16954, sentimentcategory=3)",hölzernen,"Ein längliches , mit hölzernen Häusern besetztes Vierek beleidigt die Augen und erregt größeres Mißfallen , als die höchste gothische Barbarei .",3,de madera,"Una larga área, ocupada por casas de madera, ofende la vista y causa mayor desagrado que la más alta barbarie gótica."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_16924-17068,17040,17066,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=17040, end=17066, entitycategory=HUM_LANDFORM, sentimentcategory=1)",höchste gothische Barbarei,"Ein längliches , mit hölzernen Häusern besetztes Vierek beleidigt die Augen und erregt größeres Mißfallen , als die höchste gothische Barbarei .",1,la más alta barbarie gótica,"Una cuadra alargada, ocupada por casas de madera, ofende la vista y causa mayor desagrado que la más alta barbarie gótica."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_17918-18203,17996,18007,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=17996, end=18007, sentimentcategory=4)",Schönheiten,"So zwingt das Anschauen der Natur , wenn sie mit verschwenderischer Hand ihre Schönheiten um uns her verstreut , selbst das mit Kummer beladne Herz zu der Erkenntniß , daß das Daseyn ein Glük ist ; und diese Erkenntnis ist die erhabenste Anbetung , die wir der Gottheit zollen können .",4,bellezas,"Así, contemplar la naturaleza, cuando con mano pródiga esparce sus bellezas a nuestro alrededor, obliga incluso al corazón cargado de pesar a darse cuenta de que la existencia es una felicidad; y este conocimiento es la adoración más sublime que podemos ofrecer a la divinidad."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_21821-22012,21979,21990,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=21979, end=21990, sentimentcategory=2)",unangenehme,"Es sind wohlhabende Pächter , deren Sitteneinfachheit noch nicht durch jene Arg- list verdorben ist , die mir in dem Betragen der Seeküstenbewohner so manche unangenehme Em- pfindung machte .",2,desagradable,"Son arrendatarios acomodados, cuya sencillez de costumbres aún no ha sido corrompida por esa astucia maliciosa que me causó tantas sensaciones desagradables en el comportamiento de los habitantes de la costa."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_24458-25160,24829,24854,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=24829, end=24854, sentimentcategory=1)",ihrer unersättlichen Gier,"Aber , wenn diese Einwendungen nur darauf hinauslaufen , das ver- pachtete Gut in den Händen der Pächter zu erhalt ten , so sollt ' es mir um die Abschaffung dieses Gesetzes leid thun . – Die Aristokratie in Norwegen ist , wenn ich Christiania ausnehme , eben nicht furcht bar ; und es wird viel Zeit brauchen , die Kaufleute - durch Vorspieglung eines Geldgewinns , der ihrer unersättlichen Gier angemessen ist , dahin zu bringen , daß sie den Einfluß der höhern Klaffen auf Kosten der niedern vermehren , mit denen sie in so genauer Verbindung stehen . ( 200 ) England und Amerika danken ihre Freiheit dem Handel , der eine neue Gattung von Ueber macht hervorbringt und das Feudalsystem unter gräbt .",1,su insaciable codicia,"Sin embargo, si estas objeciones se reducen simplemente a mantener la propiedad arrendada en manos de los arrendatarios, me entristecería la abolición de esta ley. La aristocracia en Noruega, excluyendo a Christiania, no es realmente temible; y se necesitará mucho tiempo para persuadir a los comerciantes, a través de la promesa de ganancias monetarias que satisfagan su insaciable codicia, para aumentar la influencia de las clases superiores a expensas de las inferiores, con las que están tan estrechamente relacionados. Inglaterra y América le deben su libertad al comercio, que genera un nuevo tipo de poder y socava el sistema feudal."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_25916-26209,26098,26112,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=26098, end=26112, sentimentcategory=4)",vortreffliches,"Der Reichthum von Norwe- gen , das Holz , flutet hier sanft den Strom herunter , oft durch Inseln und kleine Fallgit ter in seinem Laufe aufgehalten , Ich fand in Friedrichstadt ein vortreffliches Gasthaus und ward durch die gefällige Auf merksamkeit der Wirthin für mich ungemein ge ; rührt .",4,excelente,"La riqueza de Noruega, la madera, fluye suavemente por el río aquí, a menudo detenida en su curso por islas y pequeñas cascadas. Encontré en Friedrichstadt una posada excelente y fui muy conmovido por la amable atención de la dueña."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_27372-27560,27410,27417,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=27410, end=27417, sentimentcategory=2)",traurig,"– - - - -- Der Weg dahin ist rauh und traurig ; und ob ich schon eine ansehnliche Strecke des Landes , um und neben ihm , angebaut fand , so sind die / ( 203 ) Felsen hier doch ganz kahl .",2,triste,"El camino hacia allí es áspero y triste; y aunque encontré una extensión considerable de tierra cultivada alrededor y cerca de él, las rocas aquí están completamente desnudas."
GB_219_IAA.txt,GB_219_IAA.txt_0-68,57,67,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=57, end=67, entitycategory=PERSON, sentimentcategory=3)",pâtissiers,Le bazar où nous nous retrouvons à l'ombre est celui des pâtissiers.,3,pasteleros,El zoco donde nos reunimos a la sombra es el de los pasteleros.
GB_219_IAA.txt,GB_219_IAA.txt_452-506,482,505,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=482, end=505, sentimentcategory=3)","noires au
masque blanc","Des groupes nombreux de dames noires au
masque blanc.",3,negras con máscara blanca,Grupos numerosos de mujeres negras con máscara blanca.
GB_219_IAA.txt,GB_219_IAA.txt_507-767,522,529,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=522, end=529, entitycategory=PERSON, sentimentcategory=4)",enfants,"Et surtout des enfants adorables, drôlement habillés comme
de grandes personnes; petits garçons en longue robe et trop haut bonnet;
petites filles aux yeux peints, jolies comme des poupées, en veste à
basques retombantes, jupe courte et culotte par-dessous.",4,niños,"Y sobre todo, niños adorables, vestidos de manera divertida como adultos; niños pequeños con largos vestidos y gorros demasiado altos; niñas con ojos pintados, hermosas como muñecas, con chaquetas de faldones caídos, faldas cortas y calzones debajo."
GB_219_IAA.txt,GB_219_IAA.txt_507-767,589,595,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=589, end=595, sentimentcategory=3)",petits,"Et surtout des enfants adorables, drôlement habillés comme
de grandes personnes; petits garçons en longue robe et trop haut bonnet;
petites filles aux yeux peints, jolies comme des poupées, en veste à
basques retombantes, jupe courte et culotte par-dessous.",3,pequeños,"Y sobre todo, niños adorables, vestidos de manera graciosa como adultos; niños pequeños con largos vestidos y gorros demasiado altos; niñas con ojos pintados, hermosas como muñecas, con chaquetas de faldones caídos, faldas cortas y calzones debajo."
GB_219_IAA.txt,GB_219_IAA.txt_771-1113,919,924,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=919, end=924, sentimentcategory=3)",vieux,"Au suivant carrefour, qui montre une vétusté caduque, des groupes
stationnent auprès de la fontaine: assis sur le bord de la vasque de
marbre, un vieux derviche est là qui prêche, tout blanc de barbe et de
cheveux dans le rayon qui tombe du haut de la coupole, l'air d'avoir
cent ans, et, du bout de ses doigts décharnés, tenant une rose.",3,viejo,"En el siguiente cruce, que muestra una antigüedad caduca, grupos se detienen junto a la fuente: sentado en el borde de la vasija de mármol, hay un viejo derviche predicando, todo blanco de barba y cabello en el rayo que cae desde lo alto de la cúpula, con apariencia de tener cien años, y sosteniendo una rosa con la punta de sus dedos demacrados."
GB_219_IAA.txt,GB_219_IAA.txt_1117-1215,1145,1155,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1145, end=1155, entitycategory=PERSON, sentimentcategory=3)",bijoutiers,"Ensuite, c'est le bazar des bijoutiers, très archaïque, très souterrain,
et où ne passe personne.",3,joyeros,"A continuación, está el caos de los joyeros, muy arcaico, muy subterráneo, y por donde no pasa nadie."
GB_219_IAA.txt,GB_219_IAA.txt_1216-1663,1656,1662,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1656, end=1662, entitycategory=PERSON, sentimentcategory=3)",femmes,"On y vend des objets d'argent repoussé,
coffrets, coupes, miroirs, carafes pour le kaylan; dans des boîtes
vitrées, aux verres ternis, qu'enveloppe toujours par surcroît de
précautions un filet en mailles de soie bleue, on vend aussi des parures
anciennes, en argent ou en or, en pierreries vraies ou fausses, et
quantité de ces agrafes pour attacher derrière la tête le petit voile
blanc percé de deux trous qui masque le visage des femmes.",3,mujeres,"En ese lugar se venden objetos de plata repujada, estuches, copas, espejos, jarras para el kaylan; en cajas de cristal, con vidrios empañados, siempre envueltos además con precaución en una red de malla de seda azul, también se venden antiguas joyas, de plata o de oro, con piedras preciosas reales o falsas, y una gran cantidad de estos broches para sujetar detrás de la cabeza el pequeño velo blanco con dos agujeros que cubre el rostro de las mujeres."
GB_219_IAA.txt,GB_219_IAA.txt_1664-1907,1669,1678,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1669, end=1678, entitycategory=PERSON, sentimentcategory=3)",marchands,"Les
marchands, presque tous, sont des vieillards à la barbe neigeuse,
accroupis dans des niches sombres, chacun tenant sa petite balance pour
peser les turquoises et chacun poursuivant son rêve que les acheteurs ne
viennent guère troubler.",3,comerciantes,"Los comerciantes, casi todos, son ancianos con barba blanca, agachados en nichos oscuros, cada uno sosteniendo su pequeña balanza para pesar las turquesas y cada uno persiguiendo su sueño sin ser apenas perturbados por los compradores."
GB_219_IAA.txt,GB_219_IAA.txt_1664-1907,1869,1878,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1869, end=1878, entitycategory=PERSON, sentimentcategory=3)",acheteurs,"Les
marchands, presque tous, sont des vieillards à la barbe neigeuse,
accroupis dans des niches sombres, chacun tenant sa petite balance pour
peser les turquoises et chacun poursuivant son rêve que les acheteurs ne
viennent guère troubler.",3,compradores,"Los comerciantes, casi todos, son ancianos con barba blanca, agachados en nichos oscuros, cada uno sosteniendo su pequeña balanza para pesar las turquesas y cada uno persiguiendo su sueño sin ser apenas perturbados por los compradores."
